index,path,class,status,lines,bytes,findings,review_depth,notes
1,.config/config.example.yaml,line-audit,continuation-pending,95,3074,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
2,.config/themes.example.yaml,line-audit,continuation-pending,702,21449,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
3,.cursorrules,line-audit,continuation-pending,34,1532,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
4,.env.example,line-audit,continuation-pending,57,2218,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
5,.gitattributes,line-audit,continuation-pending,16,226,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
6,.github/CODEOWNERS,line-audit,continuation-pending,33,1026,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
7,.github/copilot-instructions.md,line-audit,continuation-pending,358,22803,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
8,.github/dependabot.yml,line-audit,continuation-pending,38,813,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
9,.github/ISSUE_TEMPLATE/bug_report.md,line-audit,continuation-pending,44,1021,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
10,.github/ISSUE_TEMPLATE/config.yml,line-audit,continuation-pending,8,366,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
11,.github/ISSUE_TEMPLATE/feature_request.md,line-audit,continuation-pending,23,408,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
12,.github/pull_request_template.md,line-audit,continuation-pending,27,740,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
13,.github/workflows/ci.yml,line-audit,audited,204,7139,0,deep,Source-backed review and/or validation performed.
14,.github/workflows/codeql.yml,line-audit,continuation-pending,34,858,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
15,.github/workflows/dependency-review.yml,line-audit,continuation-pending,23,542,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
16,.github/workflows/release.yml,line-audit,continuation-pending,301,9810,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
17,.gitignore,line-audit,audited,98,2254,1,deep,Source-backed review and/or validation performed.
18,.nvmrc,line-audit,continuation-pending,1,8,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
19,.vscode/settings.json,line-audit,continuation-pending,4,66,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
20,.windsurfrules,line-audit,continuation-pending,34,1532,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
21,AGENTS.md,line-audit,audited,441,79929,1,deep,Source-backed review and/or validation performed.
22,assets/branding/NOTICE.md,line-audit,continuation-pending,20,1031,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
23,assets/branding/venice-keys-black.svg,line-audit,continuation-pending,4,4302,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
24,assets/branding/venice-keys-red.svg,line-audit,continuation-pending,4,4310,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
25,assets/branding/venice-keys-white.svg,line-audit,continuation-pending,4,4302,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
26,assets/branding/venice-logo-lockup-black.svg,line-audit,continuation-pending,7,12356,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
27,assets/branding/venice-logo-lockup-red.svg,line-audit,continuation-pending,7,12366,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
28,assets/branding/venice-logo-lockup-white.svg,line-audit,continuation-pending,7,12356,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
29,assets/branding/venice-seal-red-fill.svg,line-audit,continuation-pending,6,63705,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
30,assets/branding/venice-wordmark-black.svg,line-audit,continuation-pending,5,8146,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
31,assets/branding/venice-wordmark-red.svg,line-audit,continuation-pending,5,8152,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
32,assets/branding/venice-wordmark-white.svg,line-audit,continuation-pending,5,8146,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
33,assets/preview.png,binary,skipped:binary,0,2365899,0,cataloged,Binary cataloged; bytes not semantically audited.
34,build/icon.icns,binary,skipped:binary,0,482915,0,cataloged,Binary cataloged; bytes not semantically audited.
35,build/icon.ico,binary,skipped:binary,0,39288,0,cataloged,Binary cataloged; bytes not semantically audited.
36,build/icon.png,binary,skipped:binary,0,73752,0,cataloged,Binary cataloged; bytes not semantically audited.
37,CLAUDE.md,line-audit,continuation-pending,32,1067,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
38,CODE_OF_CONDUCT.md,line-audit,continuation-pending,45,2251,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
39,config/themes/amber-archive.yaml,line-audit,continuation-pending,41,1251,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
40,config/themes/arctic-glass.yaml,line-audit,continuation-pending,41,1246,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
41,config/themes/aurora-boreal.yaml,line-audit,continuation-pending,41,1245,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
42,config/themes/basalt-noir.yaml,line-audit,continuation-pending,41,1242,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
43,config/themes/catppuccin.yaml,line-audit,continuation-pending,25,525,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
44,config/themes/circuit-mint.yaml,line-audit,continuation-pending,41,1249,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
45,config/themes/copper.yaml,line-audit,continuation-pending,41,1233,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
46,config/themes/cyber-orchid.yaml,line-audit,continuation-pending,41,1244,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
47,config/themes/dark.yaml,line-audit,continuation-pending,28,623,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
48,config/themes/desert-copperfield.yaml,line-audit,continuation-pending,41,1258,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
49,config/themes/dracula.yaml,line-audit,continuation-pending,27,570,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
50,config/themes/ember-monastery.yaml,line-audit,continuation-pending,41,1250,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
51,config/themes/example.theme.yaml,line-audit,continuation-pending,28,622,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
52,config/themes/github_light.yaml,line-audit,continuation-pending,27,580,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
53,config/themes/glacial-ink.yaml,line-audit,continuation-pending,41,1241,0,automated-inventory-and-pattern-scan,Inventoried and automatically scanned; exhaustive semantic line audit not claimed in this run.
