file,file_type,review_status,substantive,review_method,findings_count,notes
".config/config.example.yaml","support","REVIEWED","yes","inventory+semantic","0",""
".config/themes.example.yaml","support","REVIEWED","yes","inventory+semantic","0",""
".cursorrules","support","REVIEWED","yes","inventory+semantic","0",""
".env.example","support","REVIEWED","yes","inventory+semantic","0",""
".gitattributes","support","REVIEWED","yes","inventory+semantic","0",""
".github/CODEOWNERS","configuration","REVIEWED","yes","config+CI","0",""
".github/ISSUE_TEMPLATE/bug_report.md","documentation","REVIEWED","yes","docs+links","0",""
".github/ISSUE_TEMPLATE/config.yml","configuration","REVIEWED","yes","config+CI","0",""
".github/ISSUE_TEMPLATE/feature_request.md","documentation","REVIEWED","yes","docs+links","0",""
".github/bypass_actors.md","documentation","REVIEWED","yes","docs+links","0",""
".github/copilot-instructions.md","documentation","REVIEWED","yes","docs+links","0",""
".github/dependabot.yml","configuration","REVIEWED","yes","config+CI","0",""
".github/pull_request_template.md","documentation","REVIEWED","yes","docs+links","0",""
".github/workflows/ci.yml","configuration","REVIEWED","yes","config+CI","0",""
".github/workflows/codeql.yml","configuration","REVIEWED","yes","config+CI","0",""
".github/workflows/dependency-review.yml","configuration","REVIEWED","yes","config+CI","0",""
".github/workflows/release.yml","configuration","REVIEWED","yes","2026-09-10 audit + 2026-09-11 dirty-diff validation","0","User-owned current-worktree change revalidated 2026-09-11"
".gitignore","support","REVIEWED","yes","2026-09-10 audit + 2026-09-11 dirty-diff validation","0","User-owned current-worktree change revalidated 2026-09-11"
".nvmrc","support","REVIEWED","yes","inventory+semantic","0",""
".vscode/settings.json","support","REVIEWED","yes","inventory+semantic","0",""
"AGENTS.md","documentation","REVIEWED","yes","docs+links","0",""
"AGENT_REINITIALIZATION.md","documentation","REVIEWED","yes","2026-09-10 audit + 2026-09-11 dirty-diff validation","0","User-owned current-worktree change revalidated 2026-09-11"
"CODE_OF_CONDUCT.md","documentation","REVIEWED","yes","docs+links","0",""
"CONTRIBUTING.md","documentation","REVIEWED","yes","docs+links","0",""
"LEGAL.md","documentation","REVIEWED","yes","docs+links","0",""
"LICENSE","support","REVIEWED","yes","inventory+semantic","0",""
"PRIVACY.md","documentation","REVIEWED","yes","docs+links","0",""
"PRODUCT.md","documentation","REVIEWED","yes","docs+links","0",""
"README.md","documentation","REVIEWED","yes","docs+links","0",""
"SECURITY.md","documentation","REVIEWED","yes","docs+links","0",""
"SUPPORT.md","documentation","REVIEWED","yes","docs+links","0",""
"assets/ReadMe_Preview.png","binary","BINARY","no","inventory+metadata","0",""
"assets/branding/NOTICE.md","documentation","REVIEWED","yes","docs+links","0",""
"assets/branding/venice-keys-black.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-keys-red.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-keys-white.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-logo-lockup-black.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-logo-lockup-red.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-logo-lockup-white.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-seal-red-fill.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-wordmark-black.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-wordmark-red.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/branding/venice-wordmark-white.svg","support","REVIEWED","yes","inventory+semantic","0",""
"assets/mascot/mio-xc3-nerdprofeta-failed-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-failed.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-idle-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-idle.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-jumping-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-jumping.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-look-left-side-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-look-left-side.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-look-right-side-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-look-right-side.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-review-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-review.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-running-left-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-running-left.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-running-right-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-running-right.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-running-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-running.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-waiting-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-waiting.gif","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-waving-static.png","binary","BINARY","no","inventory+metadata","0",""
"assets/mascot/mio-xc3-nerdprofeta-waving.gif","binary","BINARY","no","inventory+metadata","0",""
"build/icon.icns","binary","BINARY","no","inventory+metadata","0",""
"build/icon.ico","binary","BINARY","no","inventory+metadata","0",""
"build/icon.png","binary","BINARY","no","inventory+metadata","0",""
"config/i18n-hardcoded-baseline.json","configuration","REVIEWED","yes","config+CI","0",""
"config/prompt-language-audit.json","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/amber-archive.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/arctic-glass.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/aurora-boreal.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/basalt-noir.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/catppuccin.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/circuit-mint.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/copper.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/cotton-candy-console.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/cyber-orchid.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/dark.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/desert-copperfield.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/dracula.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/dual-persona.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/ember-monastery.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/example.theme.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/github_light.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/glacial-ink.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/gruvbox_dark.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/harbor-fog.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/light.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/midnight-cobalt.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/midnight-velvet.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/monokai.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/moss-circuit.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/neon-dusk.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/nord.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/obsidian-bloom.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/obsidian-ember.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/one_dark.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/polaroid-board.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/porcelain-daybreak.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/porcelain-sky.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/rosepine.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/sakura-terminal.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/sandstone.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/solar-ash.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/solarized_dark.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/solarized_light.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/sweet-nightmare.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/synthwave-harbor.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/terminal-forest.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/tokyo_night.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/toxic-limewire.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/ultraviolet-rain.yaml","configuration","REVIEWED","yes","config+CI","0",""
"config/themes/venice.yaml","configuration","REVIEWED","yes","config+CI","0",""
"docs/ABOUT.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/BRIDGE.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/BUG_HUNTING_AGENT_PROMPT.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/CONFIG.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/FILE_TREE.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/JINA_PROVIDER.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/building.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/i18n-tooling.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/image-model-capabilities.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/macos.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/performance-baselines.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/platform-support.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/rp-token-counting.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/storage-policy.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/sync-architecture.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/sync-provider-interface.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/sync-testing.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/testing.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DEVELOPMENT/troubleshooting.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/DOCS_INDEX.md","documentation","REVIEWED","yes","2026-09-10 audit + 2026-09-11 dirty-diff validation","0","User-owned current-worktree change revalidated 2026-09-11"
"docs/FAQ.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/RELEASE/SIGNED_ARTIFACT_EVIDENCE.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/RELEASE/ST_CARD_STUDIO_MIGRATION.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/RELEASE/release.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/RELEASE/repository-settings.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/RELEASE/signing-and-notarization.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/ROADMAP.md","documentation","REVIEWED","yes","2026-09-10 audit + 2026-09-11 dirty-diff validation","0","User-owned current-worktree change revalidated 2026-09-11"
"docs/architecture/data-export-format.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/architecture/memory-isolation.md","documentation","REVIEWED","yes","docs+links","0",""
"docs/archives/README.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/superpowers/plans/2026-06-14-character-scene-generation.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/superpowers/plans/2026-06-16-rp-studio-chat-ui-repair.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/superpowers/plans/2026-07-11-release-readiness-work-order.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/superpowers/specs/2026-06-14-add-built-in-themes-design.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/superpowers/specs/2026-06-14-character-scene-generation-design.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/work-orders/VENICE_FORGE_CHAT_FOLDERS_MEDIA_DOCUMENTS_2026-07-19.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/work-orders/VF-CHAT-FOLDERS-MEDIA-DOCUMENTS-001-REOPENED.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/archives/work-orders/gamora-black-bolt-power-girl.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/audits/Records/CHANGELOG.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/audits/Records/Function_calling_todo.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/audits/Records/MULTILINGUAL_PROMPT_LANGUAGE_AUDIT.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
"docs/audits/Records/RESEARCH_PROVIDERS.md","not applicable","NOT APPLICABLE","no","historical evidence","0",""
