path,status,notes
".config/config.example.yaml","NOT_APPLICABLE",""
".config/themes.example.yaml","NOT_APPLICABLE",""
".cursorrules","NOT_APPLICABLE",""
".editorconfig","NOT_APPLICABLE",""
".env.example","NOT_APPLICABLE",""
".gitattributes","NOT_APPLICABLE",""
".github/CODEOWNERS","NOT_APPLICABLE",""
".github/ISSUE_TEMPLATE/bug_report.md","SCANNED",""
".github/ISSUE_TEMPLATE/config.yml","NOT_APPLICABLE",""
".github/ISSUE_TEMPLATE/feature_request.md","SCANNED",""
".github/bypass_actors.md","SCANNED",""
".github/copilot-instructions.md","SCANNED",""
".github/dependabot.yml","NOT_APPLICABLE",""
".github/pull_request_template.md","SCANNED",""
".github/workflows/ci.yml","SCANNED",""
".github/workflows/codeql.yml","SCANNED",""
".github/workflows/dependency-review.yml","SCANNED",""
".github/workflows/release.yml","SCANNED",""
".gitignore","NOT_APPLICABLE",""
".nvmrc","NOT_APPLICABLE",""
".vscode/settings.json","NOT_APPLICABLE",""
"AGENTS.md","SCANNED",""
"AGENT_REINITIALIZATION.md","SCANNED",""
"CODE_OF_CONDUCT.md","SCANNED",""
"CONTRIBUTING.md","SCANNED",""
"LEGAL.md","SCANNED",""
"LICENSE","NOT_APPLICABLE",""
"PRIVACY.md","SCANNED",""
"PRODUCT.md","SCANNED",""
"README.md","SCANNED",""
"SECURITY.md","SCANNED",""
"SUPPORT.md","SCANNED",""
"assets/ReadMe_Preview.png","BINARY",""
"assets/branding/NOTICE.md","SCANNED",""
"assets/branding/venice-keys-black.svg","BINARY",""
"assets/branding/venice-keys-red.svg","BINARY",""
"assets/branding/venice-keys-white.svg","BINARY",""
"assets/branding/venice-logo-lockup-black.svg","BINARY",""
"assets/branding/venice-logo-lockup-red.svg","BINARY",""
"assets/branding/venice-logo-lockup-white.svg","BINARY",""
"assets/branding/venice-seal-red-fill.svg","BINARY",""
"assets/branding/venice-wordmark-black.svg","BINARY",""
"assets/branding/venice-wordmark-red.svg","BINARY",""
"assets/branding/venice-wordmark-white.svg","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-failed-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-failed.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-idle-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-idle.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-jumping-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-jumping.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-look-left-side-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-look-left-side.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-look-right-side-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-look-right-side.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-review-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-review.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-running-left-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-running-left.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-running-right-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-running-right.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-running-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-running.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-waiting-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-waiting.gif","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-waving-static.png","BINARY",""
"assets/mascot/mio-xc3-nerdprofeta-waving.gif","BINARY",""
"build/icon.icns","GENERATED",""
"build/icon.ico","GENERATED",""
"build/icon.png","GENERATED",""
"config/i18n-hardcoded-baseline.json","NOT_APPLICABLE",""
"config/prompt-language-audit.json","NOT_APPLICABLE",""
"config/themes/amber-archive.yaml","NOT_APPLICABLE",""
"config/themes/arctic-glass.yaml","NOT_APPLICABLE",""
"config/themes/aurora-boreal.yaml","NOT_APPLICABLE",""
"config/themes/basalt-noir.yaml","NOT_APPLICABLE",""
"config/themes/catppuccin.yaml","NOT_APPLICABLE",""
"config/themes/circuit-mint.yaml","NOT_APPLICABLE",""
"config/themes/copper.yaml","NOT_APPLICABLE",""
"config/themes/cotton-candy-console.yaml","NOT_APPLICABLE",""
"config/themes/cyber-orchid.yaml","NOT_APPLICABLE",""
"config/themes/dark.yaml","NOT_APPLICABLE",""
"config/themes/desert-copperfield.yaml","NOT_APPLICABLE",""
"config/themes/dracula.yaml","NOT_APPLICABLE",""
"config/themes/dual-persona.yaml","NOT_APPLICABLE",""
"config/themes/ember-monastery.yaml","NOT_APPLICABLE",""
"config/themes/example.theme.yaml","NOT_APPLICABLE",""
"config/themes/github_light.yaml","NOT_APPLICABLE",""
"config/themes/glacial-ink.yaml","NOT_APPLICABLE",""
"config/themes/gruvbox_dark.yaml","NOT_APPLICABLE",""
"config/themes/harbor-fog.yaml","NOT_APPLICABLE",""
"config/themes/light.yaml","NOT_APPLICABLE",""
"config/themes/midnight-cobalt.yaml","NOT_APPLICABLE",""
"config/themes/midnight-velvet.yaml","NOT_APPLICABLE",""
"config/themes/monokai.yaml","NOT_APPLICABLE",""
"config/themes/moss-circuit.yaml","NOT_APPLICABLE",""
"config/themes/neon-dusk.yaml","NOT_APPLICABLE",""
"config/themes/nord.yaml","NOT_APPLICABLE",""
"config/themes/obsidian-bloom.yaml","NOT_APPLICABLE",""
"config/themes/obsidian-ember.yaml","NOT_APPLICABLE",""
"config/themes/one_dark.yaml","NOT_APPLICABLE",""
"config/themes/polaroid-board.yaml","NOT_APPLICABLE",""
"config/themes/porcelain-daybreak.yaml","NOT_APPLICABLE",""
"config/themes/porcelain-sky.yaml","NOT_APPLICABLE",""
"config/themes/rosepine.yaml","NOT_APPLICABLE",""
"config/themes/sakura-terminal.yaml","NOT_APPLICABLE",""
"config/themes/sandstone.yaml","NOT_APPLICABLE",""
"config/themes/solar-ash.yaml","NOT_APPLICABLE",""
"config/themes/solarized_dark.yaml","NOT_APPLICABLE",""
"config/themes/solarized_light.yaml","NOT_APPLICABLE",""
"config/themes/sweet-nightmare.yaml","NOT_APPLICABLE",""
"config/themes/synthwave-harbor.yaml","NOT_APPLICABLE",""
"config/themes/terminal-forest.yaml","NOT_APPLICABLE",""
"config/themes/tokyo_night.yaml","NOT_APPLICABLE",""
"config/themes/toxic-limewire.yaml","NOT_APPLICABLE",""
"config/themes/ultraviolet-rain.yaml","NOT_APPLICABLE",""
"config/themes/venice.yaml","NOT_APPLICABLE",""
"docs/ABOUT.md","SCANNED",""
"docs/DEVELOPMENT/BRIDGE.md","SCANNED",""
"docs/DEVELOPMENT/BUG_HUNTING_AGENT_PROMPT.md","SCANNED",""
"docs/DEVELOPMENT/CONFIG.md","SCANNED",""
"docs/DEVELOPMENT/FILE_TREE.md","SCANNED",""
"docs/DEVELOPMENT/JINA_PROVIDER.md","SCANNED",""
"docs/DEVELOPMENT/building.md","SCANNED",""
"docs/DEVELOPMENT/i18n-tooling.md","SCANNED",""
"docs/DEVELOPMENT/image-model-capabilities.md","SCANNED",""
"docs/DEVELOPMENT/macos.md","SCANNED",""
"docs/DEVELOPMENT/performance-baselines.md","SCANNED",""
"docs/DEVELOPMENT/platform-support.md","SCANNED",""
"docs/DEVELOPMENT/rp-token-counting.md","SCANNED",""
"docs/DEVELOPMENT/storage-policy.md","SCANNED",""
"docs/DEVELOPMENT/sync-architecture.md","SCANNED",""
"docs/DEVELOPMENT/sync-provider-interface.md","SCANNED",""
"docs/DEVELOPMENT/sync-testing.md","SCANNED",""
"docs/DEVELOPMENT/testing.md","SCANNED",""
"docs/DEVELOPMENT/troubleshooting.md","SCANNED",""
"docs/DOCS_INDEX.md","SCANNED",""
"docs/FAQ.md","SCANNED",""
"docs/RELEASE/SIGNED_ARTIFACT_EVIDENCE.md","SCANNED",""
"docs/RELEASE/ST_CARD_STUDIO_MIGRATION.md","SCANNED",""
"docs/RELEASE/release.md","SCANNED",""
"docs/RELEASE/repository-settings.md","SCANNED",""
"docs/RELEASE/signing-and-notarization.md","SCANNED",""
"docs/ROADMAP.md","SCANNED",""
"docs/architecture/data-export-format.md","SCANNED",""
"docs/architecture/memory-isolation.md","SCANNED",""
"docs/archives/README.md","SCANNED",""
"docs/archives/superpowers/plans/2026-06-14-character-scene-generation.md","SCANNED",""
"docs/archives/superpowers/plans/2026-06-16-rp-studio-chat-ui-repair.md","SCANNED",""
"docs/archives/superpowers/plans/2026-07-11-release-readiness-work-order.md","SCANNED",""
"docs/archives/superpowers/specs/2026-06-14-add-built-in-themes-design.md","SCANNED",""
"docs/archives/superpowers/specs/2026-06-14-character-scene-generation-design.md","SCANNED",""
"docs/archives/work-orders/VENICE_FORGE_CHAT_FOLDERS_MEDIA_DOCUMENTS_2026-07-19.md","SCANNED",""
"docs/archives/work-orders/VF-CHAT-FOLDERS-MEDIA-DOCUMENTS-001-REOPENED.md","SCANNED",""
"docs/archives/work-orders/gamora-black-bolt-power-girl.md","SCANNED",""
"docs/audits/Records/CHANGELOG.md","SCANNED",""
"docs/audits/Records/CHATGPT_5_6_REPOSITORY_AUDIT_2026-07-26.md","SCANNED",""
"docs/audits/Records/CHATGPT_5_6_REPOSITORY_AUDIT_HANDOFF_2026-07-26.md","SCANNED",""
"docs/audits/Records/Function_calling_todo.md","SCANNED",""
"docs/audits/Records/MULTILINGUAL_PROMPT_LANGUAGE_AUDIT.md","SCANNED",""
"docs/audits/Records/RESEARCH_PROVIDERS.md","SCANNED",""
"docs/audits/Records/VENICE_FORGE_AGENT_HANDOFF_2026-08-31.md","SCANNED",""
"docs/audits/Records/VENICE_FORGE_AUDIT_TODO_2026-08-31.md","SCANNED",""
"docs/audits/Records/VENICE_FORGE_FULL_IMPLEMENTATION_AUDIT_2026-07-25.md","SCANNED",""
